id,confidence,text,人工判定_留空
1075,0.8,"I got this to compare it with the upgraded Greatone emergency radio.  The two models are similar, with the main difference being that this version has fewer features.  This is somewhat more compact than the upgraded model but still has good features.  I couldn't get good reception on it from one of the strongest AM stations in my area.  FM seemed to come in much clearer.  I found one clear WB (weather band) station.  I wouldn't expect top quality sound, as the radio is quite small and compact.  As an emergency radio, this is excellent.  You can charge it with a manual crank, although it takes a LOT of cranking (no different than most radios that charge this way); a solar panel (which I haven't tried yet) or you can charge it from a USB connection. The USB cable is included for that.  If the internal lithium ION rechargeable battery should happen to become discharged before you can get it charged again, you are out of luck, until you can recharge it one of the 3 ways available.  The upgraded version has conventional battery backup, which is better.  On this version, if the rechargeable battery ever dies completely, there is a door with a screw that you can remove to access and replace the battery.  (It should last a very long time and not need replacement.)  Other features:  has an external charging port for a USB device (such as your cellphone) and a light on the end, controlled with a push button switch.  The on/off, volume knob turned easily, but the tuning knob was a little hard to turn.  If conventional battery backup is not important to you, this radio compares favorably to the upgraded version.",
1182,0.75,This isnt too bad if you dont like to listen to music loud. There are no controls other than volume and on/off . It did connect to the smart phone very quickly. Good for teens to use in their bedroom. The size will fit on a small shelf. Its about 16 in.long.,
1392,0.8,"The audio is OK, not high end. The mic is low end and to far to the back of the headset. But for $10 its good for cheap or retro fun.<br />The old style head band is nice,it has a low hair pulling effect and also very low profile. So it fits under a Bicycle helmet easy and doesn't give you the giant round hoodie head when put on your favorite sweat top hoodie.<br />Came with a micro usb charge cord. And your choice of blue or orange ear pads.<br />(Also I comes in a classic Retro package, the is extremely hard to open without cutting it open. Just so someone can enjoy being to frustrated to cut open the package, and just enjoy tearing it to shreads like everyone did back then.)",
2826,0.8,"I use the sleep headphones because I listen to books to get to sleep. I need the volume quite high because I use hearing aids. This headset is adequate for my purpose. It’s very comfortable to wear, but the controls are not very sensitive.",
3629,0.7,"I purchased four other Bluetooth speakers for my house over a several year period. I have a [[ASIN:B007ZG03DG Bose Wave Bluetooth Music Adapter]], which is not very good and a [[ASIN:B00MPMK3GW Goal Zero 94014 Rock Out 2 Green Solar Rechargeable Speaker]] which does not work when paired with some devices and, when it does pair well, it usually lacks the powerful sound I am looking for.<br /><br />I also purchased one [[ASIN:B00SNBCBBY ION Audio Block Rocker (iPA76A) | Portable Bluetooth Speaker]] and one [[ASIN:B01N17AQ7U ION Audio IPA88 Tailgater Flash Wireless/Bluetooth Speaker]] both from Costco. I absolutely love the Block Rocker (except for when paired with my iPad Pro) and I only like the Tailgate Flash. The lights on the Tailgate Flash annoy me because they have to be turned off every time I power on the unit. Nevertheless, the sound from the ION speakers are usually awesome.<br /><br />The IONs are the only ones I use frequently indoors (even though they are more of an outdoor Bluetooth speaker). They are powerful speakers and the sound is intense. However, I wanted something small and more portable and since the Goal Zero does not always function, I figured I would try this Sony.<br /><br />What comes in the Sony box<br />- one Bluetooth speaker<br />- one micro USB charging cable<br />- one quick start guide<br />- one user guide - warns against using & leaving unit in a car or sauna but does not say much about how to operate this speaker<br />- one limited 1-year warranty insert<br />- one pamphlet about the SongPal app - a mobile app from Sony that allows the user to play music or audio from various devices and smartphones.<br /><br />Features on the SONY<br /><br />- It is rated as IPX5 water resistant (not waterproof but close enough; it probably will not soak through in a short burst of heavy rain). See link in comments section of review for description of ratings.<br /><br />- It features a wireless party chain that allows a connection of up to 10 Bluetooth speakers at once. I did not try this feature. I am not sure if all in the party chain have to be Sony speakers or not.<br /><br />- It has a speaker phone voice assist function to allow for hands free voice over IP through the speaker, which I was unable to get working.<br /><br />- It lights up (great for party or listening to vibrant music). I love how the blue light pulsates to the music but it can be turned off if desired and once it is turned off, it remembers that setting until it is turned on again.<br /><br />- It has a speaker add function for adding an extra Sony speaker for surround sound.<br /><br />- It has up to 12 hours of battery life.<br /><br />- It charges from most USB power sources including from the USB port on a laptop<br /><br />These are the control buttons from left to right.<br /><br />- Extra Bass Button (toggles on and off for extra bass); when held for a few seconds it turns off the blue perimeter light. I like that it remembers the last setting so if I turned off the light, the light will remain off until I choose to turn it on again.<br /><br />- Phone Button for speaker phone assist; when held for a few seconds, it says the battery charge percentage. However, I found a quirk in the system. If I am charging the unit and turn it on to get the battery charge percentage, a woman’s voice came on and said 70%. However, if I unplugged the unit from a power source and turned it on, it said it was fully charged.<br /><br />- Pause and Play toggle button<br /><br />- Speaker Add button (Left/Right) for pairing another Sony speaker to this unit for surround sound.<br /><br />- Minus button for lowering volume.<br /><br />- Plus button for increasing volume.<br /><br />- Power button for tuning the unit on. Once unit is powered on, hold the power button for a few seconds and then release it to pair a device to the Bluetooth speaker. Upon release, a female voice says “pairing” and then it beeps once it is paired.<br /><br />I charged the speaker for a couple of hours before the first use but I am not sure it needed it as the battery indictor fluctuated between 100% and 70% charged depending on whether the unit was plugged in or not. The connector port is located behind the tiny cover on the back of the unit. I had trouble opening this with my fingernails.<br /><br />I paired this speaker with the following devices.<br /><br />- Google Nexus 7 Tablet (2013 version Android device) – the sound is moderately powerful.<br /><br />- iPad Pro 12.9 – the sound is okay; I actually prefer the powerful sound that is supplied by the iPad Pro’s own speakers over this Sony speaker. The system wanted me to install SongPal as an option; I found it under another name and after installation, the app said it would probably slow down my iPad so I immediately deleted it.<br /><br />- HP Omen Laptop – the sound is powerful and much better than the Omen’s own speakers.<br /><br />- Dell Latitude E7470 Laptop – the sound is powerful and much better than the Dell’s own speakers.<br /><br />As usual, I am disappointed in the user guide. It does not describe each button. It only mentions the Voice Guidance usage and does a poor job at that. However, the quick start guide pictorially shows the buttons as long as one can decipher the pictures.<br /><br />In summary, the unit is sleek, simple, and shaped like a super-sized oblong pill. It is heavy at 1.45 pounds. When powered on, a blue perimeter light outlines the speaker and pulsates to music.  I found this speaker to be moderately powerful when paired with three of the four devices I tried it on. I did not like the sound with the iPad Pro. To get the best performance, I needed to leave on the “Extra Bass.” The battery-charging indicator is a bit quirky and untrustworthy. The charge percentage was different depending on whether I was plugged in or not. I like that it is portable and water resistant. The instructions could be better and until I figured out the unit, I initially had trouble pairing. When using the phone button, I was unable to get voice over IP to route through the speaker no matter what I did. Overall, in comparison to my very portal Goal Zero speaker, this speaker is better. Although it is an unfair comparison, no portable speaker has yet to compare to my two ION speakers. I would have rated this four stars if it were not for the lousy written instructions, the quirky battery charge indicator, and its failure of the speaker phone voice assist. I was also very disappointed in the sound with my iPad Pro. Other than this, this speaker is a good contender for the right application.",
3711,0.8,"REVIEW EDITED: After 2-3 months of this working pretty well, people started saying they were unable to understand me. At first I thought it only happened when the battery was very low, so I started charging it more frequently, but then it started happening all the time, even after charging. I don't use these anymore. Waste of money that's headed to electronics recycling. Wouldn't recommend you buy.<br /><br />ORIGINAL REVIEW: Works perfectly. With products like this, my biggest concern going into a purchase is whether bluetooth disconnection and reconnection will be reliable. I am able to toggle easily between Google Voice and my regular phone line on my cell plus Zoom and Slack on my PC. Sound quality is great and all recipients of my calls have been able to hear me clearly through the mic. Went with this headset after having a great experience with the Tecknet mouse and now I think I've established some brand loyalty with them.",
6202,0.8,"I have these speakers attached to my computer so that I can listen to music while I work.  They are compact and light weight, but the sound they put out is just average.",
6712,0.8,"Software is way out dated.  Item still works though, just be sure to re-encode your video files after ripping.  Extension cable is cheap and doesn't work well, caused a lot of audio and video errors.  Once I removed it, all issues were fixed.",
11690,0.8,"Cheaply made, feels like all plastic.  Can be finicky and sound quality is not so great. Will shop for better product to preserve family recordings.",
18229,0.8,"Don't feel comfortable or durable, sound is just ok.",
