id,rating,text,人工判定_1为音质负面_留空待填,备注_留空待填
35554,3,"The description on this headset is inaccurate, it states that it comes with in-line volume control, but it does not have any volume control at all. (Attaching screenshot of description at time of purchase in the event the description is changed to accurately reflect available features). The sound quality is good, the over-ear speakers are comfortable, and the mic works well but it is little on the soft side in terms of volume.",,
9691,1,I’ve been using this for only a few days and it already stopped working. It’s so cheaply made and the sound quality is terrible,,
4420,2,"Excellent connectivity and convenience with Apple products. Battery life is mediocre for phone calls. Compared to AirPods these are more comfortable, provide “better” isolation from external noise, stay in ear a little better. Sound quality is where the AirPod Pro fails. The improved bass from better ear canal seal washes out low definition midrange and treble. Are these worth the price, not if sound quality matters. These are good for short phone calls, audio books, and podcasts. There are better alternatives for sound quality.",,
5881,1,Get a little static. Not worth what I paid for.,,
85205,3,"I'm actually giving these earbuds 3 1/2 stars, mostly for the sound. After reading the reviews, I thought these would be better than the original earbuds that came with my iPod. I found that I liked the original earbuds better and they fit better in my ear. I didn't experience the heavier bass that people described and I thought the sound was a little flat. That being said, these earphones seem to be pretty durable.",,
34675,1,Very poorly made. Material in terrible not comfortable at all. Sound quality is poor also,,
81573,2,Couldn't get it to stop buzzing.  Ultimately returned it.,,
46658,3,"I've had 50 dollar headphones before, and they were way better. This par of beats had terrible noise isolation, and volume. Wouldn't recommend.",,
96764,3,The Volume on this is not loud at all. IT is nice and convenient to keep on your belt but I wish it had more volume.,,
81638,3,Not real good sound,,
34614,3,"Someone said &#34;These hurt my ears a bit as they seem to have some sharp edges.&#34;... I had the same experience.<br />I did think the sound was pretty bass-y and just as good as the XX i bought 2 years ago.<br />I was wondering if these were knockoffs...<br />I also bought another new model fulfilled by Amazon that had the same 'X wraparound' shape as my old XX earbuds (look at the pics if you wondering what shape on the back of the earbuds I mean), and not the square-'blocky' square shape on these earbuds.<br />Also the wires are nice and loose on those other models ( https://www.amazon.com/JVC-HAFX101V-Headphones/dp/B007HIR3MG ), and not as rigid as these. The wire is a bit thicker on these, which maybe gives it some rigidity (which I don't like on these).<br />These also have a 'L' shape at the end of the cord, and not straight like the other models (i prefer the straight).<br /><br />If these are legit JVC's, I'll give it 3stars.",,
82350,2,"I wasn't expecting to be amazed but these were even worse than I expected. There was no bass at all, very little on the high end and generally sound like good speakers that have been stuffed with socks. Look elsewhere",,
18846,3,"Okay, so this tracker had me intrigued because it can be taken out and used as an earbud. I mean, that's pretty cool, cause you can be at the gym and it'd still be recording all the steps and stuff but also use it to listen to music and stuff. Well, it wasn't as cool as I thought and while the sound is okay, it isn't as good as the normal earbuds I use when I am out at the gym. I also don't feel it really is able to keep up when it's in my ear and I am doing stuff compared to when it's on my wrist and I am doing something. I don't know, I feel like my wrist tracker is hands-down better compared to this tracker. As for receiving phone calls, it works pretty well and it's cool to just pop it out and talk but I can do all that with my normal earbuds too and as I said before, they sound a whole lot better. So, yeah, these are all right but I doubt I will use it anymore just to be honest.",,
86965,3,"The volume dial is messed up, sometimes its really loud or really low.  It does work but is aggravating",,
84210,3,"Look better than they feel. The band area has material over it but there isn't padding between the material and the plastic. If your head is sensitive or you wear these a long time it probably will get uncomfortable. The ear padding is excellent, so I don't know why they skimped on band padding.<br /><br />Sound wise, they're great for listening to music on my phone. But using my Roku app for private listening with my tv the sound is almost muffled. It's not as clear as listening to music or watching something on an app on my phone.<br /><br />For calls it sounds like I'm far away, similar to how someone sounds on speakerphone. Defin9itely need to speak loudly to be heard well.<br /><br />All that aside, they're really pretty, and I like the physical on/off switch and control buttons. I love that I can connect them when I don't want to be wireless. The case is great, it came with all the necessary cables, and a wrist strap for the case.",,
29409,1,"There's no volume control on these headphones.  The sound through the headphones was deafening and hurt my ears, even with the volume on my TV muted.  It's a shame, because they seem like they would be comfortable, and the cord is the perfect length to span the distance between my crosstrainer and the TV.  I need headphones because I exercise early in the morning and don't want to wake the rest of the household.",,
77392,3,"These cables really have a very forward sound, and almost are harsh in their presentation. Depending on your system, I guess this could be a good thing - for instance, if you wanted to bring a more laid back/warmer setup and give a real kick. But for me, it just wasn't pleasant to listen to. I much preferred the AC-14s, which really open things up and bring out detail without harshness.<br /><br />If you don't believe power cables make a difference, I'd challenge you to purchase these and compare them against the AC-14s.<br /><br />It's a well-made cable though, and some will certainly like how it affects the sound.",,
83368,1,"I have had these for a couple of months now, thinking that my sound coming into the headphones was just low, like thats what you get. Then today, out of the blue, while wearing them, they started being loud, like, the way they should be working. I had actually jumped up and thought wow, this is what they are supposed to sound like, i didn't do anything to make the change though. They worked properly for about an hour, and just a little while ago, they went back to very quite sound. I tapped the headset, wiggled the wire etc, but cant get the sound as it should be. Going to toss these and get a better set for sure. I guess i got what i paid for.",,
33034,1,"I liked the style & fit of these glasses, but I noticed a tinny sound in one ear when the audio was made louder. I contacted the company & they offered to do an exchange. Instead I chose to order a second pair of glasses to compare the audio. Just as I suspected, the audio in second pair of glasses was just as bad. These glasses are advertised as ""Youth"" - I would hate to think that the company was just being sloppy with Quality control because kids would be as critical as adults.",,
71824,2,really! what happened...the volume is less than half of my other computer speakers.  Disappointed.,,
