text,rating,期望标签,类别
The sound quality was horrible! Extreme static. I was very disappointed. Won't buy again.,0,1,明确音质差评
This is much smaller than I thought and does not have the best bass in the music.  My husband says he likes it but he may just be being kind. If your looking for a more realistic sound I suggest you keep looking.<br />The plus is it is cute.,0,1,明确音质差评
"For the relatively little money paid - this is an OK receiver. My previous Sony of the similar basic level has been playing nicely the last 7 years, until it died, so I thought I'll follow-up with the brand. Well, there has been one disappointment, but big enough (for me, personally) to return it and try something different. Issue may be subjective, nevertheless... the issue is a quite flat sound, in particular the bass. The non-audiophile (i.e. reasonably priced) receivers used to have a ""contour"", or ""bass boost"" function (even the previous Sony model had it), which greatly enhanced the audibility of lower frequencies when played at low decibels. This one lacks it (and it sounds like most of nowadays sold receivers are like this), hence the sound coming out is quite flat (also for treble band), unless you go really loud. In addition, the receiver lacks a sub-woofer output, so there is no chance to improve low frequencies.<br />Out of the other available receivers, I decided to pick (by recommendation) a little more up-scale (yet still reasonably priced) Harman Kardon HK 3390 (2 x 80W) Stereo Receiver, which has sub-woofer outputs - even though it also lacks bass boost, I am expecting it will revive the bass, even with my old Sony 10"" sub.",0,1,明确音质差评
I'm not that impressed with these. The sound is too muted and they get staticy at times. The range for them to work is only  room a way. I'm disappointed in these.,0,1,明确音质差评
I have had nothing but problems with this piece of crap!! I have called ring NUMEROUS TIMES over these months with no resolution to my problem. It won't record audio or video except in spurts. I get a blacked out screen when trying to see a live view. The screen freezes and blurs. This product that ring manufactures is absolute GARBAGE!!! They have sent me 1 replacement and it didn't work at all!! Customer service told me sorry no refund out of refund window. DON'T BY THIS PRODUCT. YOU WON'T GET ANY HELP FROM RING AT ALL!!,0,1,明确音质差评
"I bought this Nexus 7 32G at the end of January 2013 via online store and have had it since February 2013.  Within about 3 or 4 weeks it became glitch, with apps crashing.  But I could live with it because it allowed me to take advantage of the app store.  So for months, I actually enjoyed the tablet even though the screen would not fill with pictures all the way or something else would close unexpectedly and the sound was not all that great.  However, last week, Tuesday 07/09/2013 the sound stopped altogether.  I had already bought a mini speaker to compensate for the poor sound quality.  When I plugged that it in, I got sound from the tablet, but that was the only way I could hear anything.  I called ASUS support and right away they asked had I dropped it.  I had not.  I promptly sent it off on the same day, Tuesday, 07/09/2013.  Until today, I still haven't heard a word.  I called ASUS support myself and was told that they received the tablet yesterday, 07/15/2013 and that I should received a 'repaired' tablet within 7 - 10 days from 07/15/2013 their receipt date.  Mind you, they sent me the label to send the tablet back.  So now, I haven't had the tablet for a week, and probably won't for another week and will now received a<br />'refurbished' tablet, not the brand new one I bought last then four months ago.  I REGRET THIS PURCHASE and now know I should have spent the money on an IPAD.  What a waste! All the other companies that offer tablets have no problem with sending out a new tablet when something like this happens.  I know now I should have invested in an IPAD or KINDLE.  They know how to treat their customers.",0,1,明确音质差评
"Sound isn't amazing but good. Seems like they could have made this much smaller and better quality sound. Very bulky. I don't need the light so it's non value add for me. Easy to connect with iPhone 6. Just not overly impressed with the sound. Bass seems a bit lacking when turned up loud. Easy to install, took me 20-30 min.",0,1,明确音质差评
"I have mixed feelings about these.  Overall they sound pretty good, and  I've heard notes on some of my classical albums I've never heard before.  However, they're not as clear or crisp as they could be.  This is most noticeable when listening to podcasts.  Voices just sound cleaner on my phone's speakers.",0,1,明确音质差评
The volume goes from loud to mute. Nothing worse than hearing children’s content from 3 rooms away. Volume is way too loud. From loud to mute - with no in between. Stupid.<br /><br />Too many download options to make money - kids fill it up with crap and use all the memory. Wish I could just have the three apps I purchased show up.<br /><br />Get what you pay for - should’ve bought an iPad.,0,1,明确音质差评
The audio quality on this webcam is horrible. Audio is very distorted and is full of noise and intermittent breaks. Video quality is worse than the built in (720p) webcam on my laptop.,0,1,明确音质差评
Worked great and sounded wonderful for a week and then nothing. No sound.,0,1,明确音质差评
"Lots have commented on the sound on this guy being loud, there's a point where at 4000 rpms is going to be nosier no matter what you do, there's physics involved in why it's so loud. I can't say that's the fault of the company. I ordered 2, and the first one came with a kind of grinding noise, like the fan was rubbing on the inside. The 2nd one I ordered was perfect, nice and quite (as quite as 4000 rpms can be, which should be kind of a low hum) So I contacted the company and they responded quickly in sending out a replacement for my first fan.<br /><br />Low and behold that one also had a grinding whine to it. I'm not going to bother returning it, I'm sure it's just quality control. a 4000 rpm 80mm shouldn't be this cheap, so I don't expect it to be perfect. In any case it does work great, most fans get up to about 4200 and 4100 in my server. Does a great job of keeping all the HDD cool. I really love it with asrock rack server mobos that can have granular control of their PWD fans. Once you spin these guys down to 2600 or under It's as quite as my HTPC. And they only get loud if things get really hot. So they do the job well enough for me.",0,1,明确音质差评
GREAT,0,0,明确非音质
Love this camera! Works so well for me to check in on my dog while I am at work! And monitor for when my dog sitters come!,0,0,明确非音质
"I honestly can't tell if this is doing my laptop any good or not, but I like the idea. I've got a utility that reports on temperatures at various spots in my laptop, CPU, GPU, heat sinks, et cetera. It adds about 3/4&#34; of an inch which isn't that big an adjustment when you're typing. I like the idea of a fan under the computer a lot. I'm tempted to find a plunge router and hog out a space in my Ikea desk for this thing to sit in, you know, put in some kind of screen material so it is supported and then have my laptop at desk height.",0,0,明确非音质
Great for the new iPad mini version 5.,0,0,明确非音质
"Who gets excited by new computer components??? This gal does! I love that I have 8TB to store games, pictures, computer back ups and more. 8TB is a huge amount of storage space. I have a holder that I just plug into my usb port on my pc and I can swap back and forth. I may end up replacing the smaller drive on the Xbox One with this one, I haven't decided yet. Toshiba makes a good hard drive. It used to be you didn't want to get a larger hard drive past a certain amount of gigabytes because they ran slower. Not anymore. Toshiba has 128MB data buffer which allows for fast reading and performance. My husband has always said I was a man in another life due to my having to have the fastest and most up to date computers. Trust me, his desktop is a regular ol' desktop that I gave him last year, but it is far better than what he had and does much more. I, on the other hand, have a gaming computer, with gaming keyboard and mouse. So yeah, I deserve this 8TB drive",0,0,明确非音质
I needed to adjust this to get it on my bike...I cannot get it back together. The directions arse pretty non existent. Sadly disappointing.,0,0,明确非音质
"Indoors: Each unit sounds very different depending on where it is located. For the Emberton, it sounded a little too bassy in most locations and the mids and highs sounded drowned out because of that. The Bose also sounded a little too bassy but was more even on the mids and highs. In particular, the highs sounded great indoors. In certain spaces indoors, the Bose might have had the most even sound but only when standing right in front of the speaker. The JBL Flip 4 did not go as low in frequency response to the others however there was more clarity in the mids and had a more stereophonic sound. The Flip 4 in most cases sounded too bassy indoors (and I don't mean low bass but mid-bass). The Emberton sounded as one of the best when placed in the middle of the room. Outdoors: The Emberton was definitely the loudest and had the most bass and sounded better outdoors and had the best low frequency response as well as loudness. In some cases again, the bass drowned out the mids and highs. I liked the JBL Flip 4 outdoors for having a stereophonic sound and clarity in the mids and highs however the bass did not extend as low as the other 2. The Bose did not sound too good outdoors (worst of the 3 outdoors) and sounded the best indoors in particular situations. The Bose outdoors also did not perform well when not standing right in front of the speakers while the other 2, you can get pretty good response at different angles. As far as loudness and bass, the Emberton blew the other 2 away, but did not have the stereo spaciousness or mid/high clarity of the JBL.",0,0,明确非音质
"I didn't expect much for the price I paid. I needed an enclosure for a drive out of an old pc which had tons of music and videos. It is a nice solid enclosure, good feel, and while it isn't the prettiest enclosure on the market, it works just like it should. If you need an enclosure save some money and get yourself a decent one for a great price.",0,0,明确非音质
"You can use this as a POE switch, which has 4 POE ports and 2 uplink ports, or simply use it as a 6 port switch if you don't need the POE feature. The metal casing feels solid and good quality. However, keep in mind this is 10/100, this is NOT a gigabyte switch. The uplinks are also not gigabyte. At this price point, it's par for the course, and gets the job done. 5-Stars.",0,0,明确非音质
I travel to different offices and this adaptor makes my life easier. It attaches my laptop to any variety of monitors. Thus far it has worked reliably. Haven't had any problems however my applications are primarily work related so I can't comment on how it is for gaming. speed is decent and performance is good.,0,0,明确非音质
"Purchased as a gift for our son, he loves it!  Was a snap to set up and the picture quality is very good",0,0,明确非音质
"I don't know exactly where this would fit into a birders toolkit.  For me, I am planning on taking it to the tropics with the kids as a cheap and easy to carry spotting scope.  I'm hoping that I can remove the camera and set this up on the tripod with a quick release plate and put it on non moving birds and sloths etcetera so they don't get too frustrated with their bins.  And I don't break my back with both camera and full spotting scope.<br /><br />I will say this, in the 90's I paid $49 for a Russian surplus spotting scope that did have 20x zoom, but in every other way it was far, far inferior to this monocular.  This has the passable optics for a beginning birder still not looking to invest well.  It is fairly sharp in the center of the image but less so at the edges.  It has a very small depth of field, but a surprising close focus of 6-8 feet. I would not recommend this as a replacement for a full set of bins, but you are getting half a budget pair binoculars.<br /><br />The focus is easy enough to adjust one handed and it seems fairly well constructed in the hand.  I would not want to drop it and fully test it, but it seems sturdy enough. Lense covers are also fine.  The eye cup raises and lowers for eyeglass wearers but the mechanism seems less quality than other aspects of the monocular.  I question the focal length placement for the cup at full or minimum extension.  It seems like the missed the proper marks.<br /><br />I think it will work for what I was hoping for, a rainforest spotting aid and a reserve optics for the car, but not sure I would recommend for much else.",0,0,明确非音质
Finish is peeling from plastic shell after only 5 months use.  Product is not durable.,0,0,明确非音质
"Always like having an extra cord, these are the best they last a long time",0,0,明确非音质
"I've had several Amazon Basics' items since the line was introduced. Most have been quite good. Unfortunately this tripod wasn't one of them.<br /><br />The feel is cheap and plastic-y. I wasn't expecting bearings in the pan-head but the plastic on plastic mechanisms are terrible.<br /><br />I tested this item with my Kodak Z990 digital camera. It weighs approx. 21 oz. with batteries.<br /><br />The camera mount has a good rubber pad for your camera to sit on and the tightening screw has a butterfly head so no screwdriver or coins are needed to attach/detach the mount from the camera. The mount attaches to the tripod with a spring-loaded release arm. There is actually very little contact area on the tripod itself (only two corners) holding the mount in place, also the release arm does NOT have a safety catch.<br /><br />Pan Functionality - Fully tightened down I can still, with not much effort, swing the head from left to right. Fully loosened the motion is heavy and awkward easily upsetting the tripod's position. Tightening this knob fully actually interferes with the...<br /><br />Tilt Functionality - The action is not much better here. You can lock the tilt angle into place and it does stay there. There's just as much plastic on plastic drag when in motion. The arm is generously long and comfortable to grip. The side-tilt mechanism goes reasonably easily from flat to 90°. It does not lock in place well.<br /><br />Leg Functionality - The legs extend and retract with mild effort. They lock into place firmly. With just the larger leg section extended the tripod is fairly sturdy. Extending the smaller leg sections dramatically increases wobble. There is a weight/gear hook for added stabilization but it is plastic and feels easily broken. The swiveling rubber feet are innovative but only held on by friction and can easily become detached. The center stabilizer locks and unlocks easily with only a quarter turn and holds in place well. There is a serviceable carry handle attached to the leg mount section.<br /><br />The tripod has two bubble levels. The first, a small button level is at the top of one of the leg mounts. The second, a tube level, is just under and inch long and is under and partially obscured by the camera mount. With a camera attached it becomes useless.<br /><br />The center section extends and lowers via a crank mechanisms and locks in place with a plastic collar. There is no positive safety lock. Loosen the collar and your camera comes down rapidly on its own. Extending your camera this way will only increase the instability of this tripod.<br /><br />The included carry bag reflects the quality of it's tripod. Its material is unpadded and thin. It has no extra pockets and the half-inch nylon shoulder strap is also unpadded making it rather uncomfortable to carry.<br /><br />In conclusion... I wouldn't recommend this tripod even as a starter for someone just getting into photography it will only add frustration to the experience. Spend a little more and get a far better tripod or spend a little less and get something of equal quality.",0,0,明确非音质
Fit my Dymo label maker perfectly.  Just what I needed.,0,0,明确非音质
This is a super cute design and I really like how well it protects my kindle. I’m happy with the purchase.,0,0,明确非音质
"Probably amazing, but when something gets shipped to you as a broken item, it's not great.",0,0,明确非音质
"Great when you have to charge a bunch of stuff... which is not exactly why I purchased it, but discovered it wouldn't work for that (a user problem)... so then it became a spare charging station which is fine.  Of course you will need the USB cord for charging. It's about the length and width of shorter surge protector... I always update my reviews should new info prove useful.",0,0,明确非音质
"These pin wire connectors work well and make short work of splicing in the car, in the house for doorbells and thermostats, and are easy to use. They can take care of a lot of ugly and bulky connections with wing nuts. They work to specifications, and they are simply exactly what I needed and as advertised.",0,0,明确非音质
Good,0,0,明确非音质
"Sound quality decent and very handy here in Alaska. Quality commensurate with cost; my last one made it through a brutal winter after a gorgeous autumn and didn't expire until recently.<br />Recommend singing loudly along and keeping volume low during bear season. A 9mm or better is an excellent idea. Bear spray, too.<br />Enjoy!",0,0,明确非音质
works great!,0,0,明确非音质
"Unfortunately, half of these lasted less than a month. The others are still working though, so I split the difference and gave an average rating. Received fast and exactly as described. Even with only 3 working, it's still a great price.",0,0,明确非音质
Great I was able to disable the Picture in picture. Thanks a lot. Love it Brand new and exactly  the same.,0,0,明确非音质
Saved my cable Management's life. You'll appreciate these so much. Only regret is I bought 25 instead of 100. However I've ordered another set.,0,0,明确非音质
"Easy to use, very small, packs light, yet has amazing features and takes great photos",0,0,明确非音质
When I first opened it I was annoyed there wasnt any instructions. Much to my surprise I put in the batteries and automatically it was working. The only feature I can see doesnt work is with the actual Samsung tv remote whenever theres a problem I press and down the power button till the samsung logo appears and it restarts itself usually fixing any issue. This new remote doesnt do that but every other button seems to work. A+++++,0,0,明确非音质
